iter	MAE
0	49.13171457
5	49.05173043
10	48.97170268
15	48.89184936
20	48.81193657
25	48.73189693
30	48.65200396
35	48.5720555
40	48.49209118
45	48.41255104
50	48.33345887
55	48.25441824
60	48.17554807
65	48.09655897
70	48.01772844
75	47.93881863
80	47.85996829
85	47.78131615
90	47.70294945
95	47.62508226
100	47.54727453
105	47.46964123
110	47.39213479
115	47.31467592
120	47.23711001
125	47.15969475
130	47.08257681
135	47.00591873
140	46.92937562
145	46.85299504
150	46.77663826
155	46.70036868
160	46.62424182
165	46.54805946
170	46.47209118
175	46.39640833
180	46.32082854
185	46.24543112
190	46.1702002
195	46.09515164
200	46.02011893
205	45.94512983
210	45.87027948
215	45.79563132
220	45.72132408
225	45.64709613
230	45.57298712
235	45.49922696
240	45.42546283
245	45.35177403
250	45.27813677
255	45.20465015
260	45.13141724
265	45.05851338
270	44.98566501
275	44.91320119
280	44.84057879
285	44.76806343
290	44.6961665
295	44.62417839
300	44.552333
305	44.48109415
310	44.41002577
315	44.33902874
320	44.26852329
325	44.19762141
330	44.12731814
335	44.05709415
340	43.98628741
345	43.91564718
350	43.84523687
355	43.77510406
360	43.70515758
365	43.63544103
370	43.56578394
375	43.49626165
380	43.42693756
385	43.35775619
390	43.28873736
395	43.21992468
400	43.15131417
405	43.08278295
410	43.01450942
415	42.94635877
420	42.87837463
425	42.81041427
430	42.74277106
435	42.67514371
440	42.60778593
445	42.54072944
450	42.47370069
455	42.40684242
460	42.34004757
465	42.27361348
470	42.20723489
475	42.14109812
480	42.07517146
485	42.00931219
490	41.94364718
495	41.87820416
500	41.81284836
505	41.74765114
510	41.68283845
515	41.6181328
520	41.55377205
525	41.48949058
530	41.42548662
535	41.36157384
540	41.29793855
545	41.23455302
550	41.17108028
555	41.10801982
560	41.04511397
565	40.98243806
570	40.91980971
575	40.85740733
580	40.79519524
585	40.73316947
590	40.67111199
595	40.60926858
600	40.54788107
605	40.4865887
610	40.42559762
615	40.36478494
620	40.30406343
625	40.24363528
630	40.18328246
635	40.12306442
640	40.06311596
645	40.00339346
650	39.94387711
655	39.88453518
660	39.82542716
665	39.76655302
670	39.70777403
675	39.64916551
680	39.59067988
685	39.53231318
690	39.47432706
695	39.4165669
700	39.35911992
705	39.30177205
710	39.24470961
715	39.18777007
720	39.13092567
725	39.07420813
730	39.01781566
735	38.96164916
740	38.9056888
745	38.8499782
750	38.79440634
755	38.73908424
760	38.68391675
765	38.62892765
770	38.57412488
775	38.519556
780	38.4652329
785	38.41109613
790	38.35711001
795	38.30333003
800	38.24978394
805	38.19640833
810	38.14324281
815	38.09023588
820	38.03742716
825	37.98489197
830	37.9326224
835	37.88053915
840	37.82860258
845	37.77691179
850	37.72575223
855	37.67462834
860	37.62346482
865	37.57286819
870	37.52254906
875	37.47219029
880	37.42212488
885	37.37199207
890	37.32240238
895	37.27263826
900	37.22302478
905	37.17424381
910	37.12589495
915	37.0773558
920	37.02901883
925	36.98063033
930	36.93219425
935	36.88417839
940	36.83623389
945	36.78847968
950	36.74087215
955	36.69353816
960	36.64641427
965	36.59958771
970	36.55276511
975	36.50598612
980	36.45946085
985	36.4131338
990	36.36717146
995	36.32159762
1000	36.2766779
1005	36.23153617
1010	36.18612884
1015	36.14098315
1020	36.096
1025	36.05117542
1030	36.00657284
1035	35.96226759
1040	35.9181328
1045	35.87430327
1050	35.83048563
1055	35.78697721
1060	35.74361546
1065	35.70037265
1070	35.6573558
1075	35.61443409
1080	35.57189693
1085	35.52968087
1090	35.48731814
1095	35.44511794
1100	35.40323489
1105	35.3614668
1110	35.31997225
1115	35.27872745
1120	35.23759762
1125	35.19682061
1130	35.15622993
1135	35.11580971
1140	35.07559167
1145	35.03575818
1150	34.99555996
1155	34.95558771
1160	34.91596432
1165	34.87666204
1170	34.8377443
1175	34.79881863
1180	34.75988107
1185	34.72117344
1190	34.68270763
1195	34.64447175
1199	34.6138672
